"Source:","/home/tamas/general/holobone/hardware/cape/holobone.sch"
"Date:","Sat 12 Dec 2020 08:17:06 PM GMT"
"Tool:","Eeschema 5.1.6-c6e7f7d~87~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","52"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Store"
"","","R3","4.75K","Device:R","Resistor_SMD:R_0805_2012Metric","http://www.farnell.com/datasheets/2310790.pdf","https://uk.farnell.com/vishay/crcw08054k75fkea/res-4k75-1-0-125w-0805-thick-film/dp/1469924"
"","","R4","2K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","http://www.farnell.com/datasheets/2310790.pdf","https://uk.farnell.com/vishay/crcw08052k00fkea/res-2k-1-0-125w-0805-thick-film/dp/1469884"
"","","R5","5.6K","Device:R","Resistor_SMD:R_0805_2012Metric","http://www.farnell.com/datasheets/2310790.pdf","https://uk.farnell.com/vishay/crcw08055k60fkea/res-5k6-1-0-125w-0805-thick-film/dp/1469941"
"","","R6","5.6K","Device:R","Resistor_SMD:R_0805_2012Metric","http://www.farnell.com/datasheets/2310790.pdf","https://uk.farnell.com/vishay/crcw08055k60fkea/res-5k6-1-0-125w-0805-thick-film/dp/1469941"
"","","R7","5k","Device:R_Small","Resistor_SMD:R_0805_2012Metric","","https://uk.farnell.com/vishay/crcw080516k2fkea/res-16k2-1-0-125w-0805-thick-film/dp/1469878?st=smd%20resisitor"
"","","R8","36R","Device:R_Small","Resistor_SMD:R_0805_2012Metric","","https://uk.farnell.com/vishay/crcw080516k2fkea/res-16k2-1-0-125w-0805-thick-film/dp/1469878?st=smd%20resisitor"
"","","R9","2k","Device:R_Small","Resistor_SMD:R_0805_2012Metric","","https://uk.farnell.com/vishay/crcw080516k2fkea/res-16k2-1-0-125w-0805-thick-film/dp/1469878?st=smd%20resisitor"
"","","R10","16.2K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","","https://uk.farnell.com/vishay/crcw080516k2fkea/res-16k2-1-0-125w-0805-thick-film/dp/1469878?st=smd%20resisitor"
"","","R11","3.9K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","","https://uk.farnell.com/vishay/crcw08053k90fkea/res-3k9-1-0-125w-0805-thick-film/dp/1652998?st=smd%20resisitor"
"","","R12","16.2K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","","https://uk.farnell.com/vishay/crcw080516k2fkea/res-16k2-1-0-125w-0805-thick-film/dp/1469878?st=smd%20resisitor"
"","","R13","3.9K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","","https://uk.farnell.com/vishay/crcw08053k90fkea/res-3k9-1-0-125w-0805-thick-film/dp/1652998?st=smd%20resisitor"
"","","R14","11.3K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","","https://uk.farnell.com/vishay/crcw080511k3fkea/res-11k3-1-0-125w-0805-thick-film/dp/1652911?st=smd%20resisitor"
"","","R15","11.3K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","","https://uk.farnell.com/vishay/crcw080511k3fkea/res-11k3-1-0-125w-0805-thick-film/dp/1652911?st=smd%20resisitor"
